Grantee Name,Grant #,HRSA Program Area,Program Name,Activity Code,Fiscal Year,Financial Assistance,County,State,DUNS #,UEI #
IOWA DEPARTMENT OF PUBLIC HEALTH,X10MC50301,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program (X10)",X10,2023,"$6,656,385.00",Polk County,IA,808345920,S47QLSY37VS1
MICHIGAN HEALTH AND HUMAN SERVICES,H98MC26257,Maternal and Child Health,Awareness and Access to Care for Children and Youth with Epilepsy (H98),H98,2023,"$416,000.00",Ingham County,MI,113704139,C2AQVDYYUAS7
"Children's Hospital of Philadelphia, The",H98MC33238,Maternal and Child Health,Awareness and Access to Care for Children and Youth with Epilepsy (H98),H98,2023,"$416,000.00",Philadelphia County,PA,073757627,G7MQPLSUX1L4
"Regents Of The University Of California, The",T16MC41742,Maternal and Child Health,"MCH Leadership, Education, and Advancement in Undergraduate Pathways Program (T16)",T16,2023,"$173,020.00",Alameda County,CA,124726725,GS3YEVSS12N6
Florida International University,T1CMC35355,Maternal and Child Health,Maternal and Child Health Public Health Catalyst Program (T1C),T1C,2023,"$90,000.00",Miami-Dade County,FL,071298814,Q3KCVK5S9CP1
UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,T1CMC35359,Maternal and Child Health,Maternal and Child Health Public Health Catalyst Program (T1C),T1C,2023,"$70,000.00",Pulaski County,AR,122452563,VDFYLZPJEAV6
BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA,U01MC17261,Maternal and Child Health,Partnership for MCH Leadership Community (U01),U01,2023,"$700,000.00",Douglas County,NE,168559177,G15AG3BLLMH4
CHILDRENS HOSPITAL MEDICAL CENTER,U03MC22684,Maternal and Child Health,Pediatric Emergency Care Applied Research Network (PECARN) (U03),U03,2023,"$700,000.00",Hamilton County,OH,071284913,JZD1HLM2ZU83
EMORY UNIVERSITY,U03MC49671,Maternal and Child Health,Pediatric Emergency Care Applied Research Network (PECARN) (U03),U03,2023,"$700,000.00",DeKalb County,GA,066469933,S352L5PJLMP8
COOLEYS ANEMIA FOUNDATION,U1AMC41739,Maternal and Child Health,Thalassemia (U1A),U1A,2023,"$75,000.00",New York County,NY,068052596,ME61AQSTFT78
CHILDRENS HOSPITAL MEDICAL CENTER,U1EMC27863,Maternal and Child Health,Sickle Cell Treatment Demonstration Program (U1E),U1E,2023,"$1,090,000.00",Hamilton County,OH,071284913,JZD1HLM2ZU83
"EDUCATION DEVELOPMENT CENTER, INC.",U49MC28422,Maternal and Child Health,Child and Adolescent Injury and Violence Prevention Resource Centers Cooperative Agreement (U49),U49,2023,"$1,000,000.00",Middlesex County,MA,076583830,WWH4L4GKKW58
DEPARTMENT OF BEHAVIORAL HEALTH AND DEVELOPMENTAL DISABILITIES,U4AMC44238,Maternal and Child Health,American Rescue Plan Act – Pediatric Mental Health Care Access New Area Expansion (U4A),U4A,2023,"$150,000.00",Fulton County,GA,965736635,DP59PALDWKH5
"PUBLIC HEALTH, MASSACHUSETTS DEPARTMENT OF",U4AMC44243,Maternal and Child Health,American Rescue Plan Act – Pediatric Mental Health Care Access New Area Expansion (U4A),U4A,2023,"$150,000.00",Suffolk County,MA,878298900,DLKMR1QVDX34
"HEALTH, NEW MEXICO DEPARTMENT OF",U4AMC44247,Maternal and Child Health,American Rescue Plan Act – Pediatric Mental Health Care Access New Area Expansion (U4A),U4A,2023,"$405,000.00",Santa Fe County,NM,782914170,HG44Y3KS4JP6
TENNESSEE DEPARTMENT OF HEALTH,U4AMC44252,Maternal and Child Health,American Rescue Plan Act – Pediatric Mental Health Care Access New Area Expansion (U4A),U4A,2023,"$405,000.00",Davidson County,TN,172636268,EA5JN3P55GR1
STATE OF NORTH CAROLINA DEPARTMENT OF HEALTH & HUMAN SERVICES,U7AMC33712,Maternal and Child Health,State Maternal Health Innovation Program (U7A),U7A,2023,"$2,213,610.00",Wake County,NC,809785363,DKT3LLBWFVL3
"Johns Hopkins University, The",UD5MC30792,Maternal and Child Health,Home Visiting Research and Development Platform (UD5),UD5,2023,"$1,494,008.00",Baltimore City,MD,001910777,FTMTDMBR29C7
NATIONAL INSTITUTE FOR CHILDRENS HEALTH QUALITY INC,UF5MC32750,Maternal and Child Health,Supporting Healthy Start Performance Project (UF5),UF5,2023,"$4,179,250.00",Suffolk County,MA,119539497,LJ93NKKNN273
MICHIGAN PUBLIC HEALTH INSTITUTE,UG7MC28482,Maternal and Child Health,"National Fetal, Infant and Child Death Review Center Program (UG7)",UG7,2023,"$5,149,996.00",Ingham County,MI,809483670,Y1YNPR94FMH4
HAWAII DEPARTMENT OF HEALTH,UH7MC30774,Maternal and Child Health,Regional Genetics Networks (UH7),UH7,2023,"$635,000.00",Honolulu County,HI,809935679,LFVFLBD6XZB5
UNIVERSITY OF OKLAHOMA,UH7MC35353,Maternal and Child Health,Regional Genetics Networks (UH7),UH7,2023,"$398,637.00",Oklahoma County,OK,878648294,GY8NMUZQXVS7
UNIVERSITY OF UTAH,UJ5MC30824,Maternal and Child Health,EMSC Data Center (UJ5),UJ5,2023,"$3,200,000.00",Salt Lake County,UT,009095365,LL8GLEVH6MG3
"Regents Of The University Of California, The",R40MC49144,Maternal and Child Health,Maternal and Child Health Field-Initiated Research Program (R40),R40,2023,"$299,646.00",Alameda County,CA,124726725,GS3YEVSS12N6
"Johns Hopkins University, The",R42MC49146,Maternal and Child Health,R42 MCH Secondary Data Analysis Research (R42),R42,2023,"$120,000.00",Baltimore City,MD,001910777,FTMTDMBR29C7
VIRGINIA COMMONWEALTH UNIVERSITY,R42MC49150,Maternal and Child Health,R42 MCH Secondary Data Analysis Research (R42),R42,2023,"$119,928.00",Richmond City,VA,105300446,MLQFL4JSSAA9
"University Of California, Los Angeles",R43MC49153,Maternal and Child Health,Autism Secondary Data Analysis Program (R43),R43,2023,"$119,901.00",Los Angeles County,CA,092530369,RN64EPNH8JC6
"Regents of the University of California, San Francisco, The",U8DMC45901,Maternal and Child Health,MCH Adolescent and Young Adult Health Research Network (U8D),U8D,2023,"$489,000.00",San Francisco County,CA,094878337,KMH5K9V7S518
OREGON HEALTH & SCIENCE UNIVERSITY,U9HMC46904,Maternal and Child Health,Transforming Pediatrics for Early Childhood (U9H),U9H,2023,"$999,247.00",Multnomah County,OR,096997515,NPSNT86JKN51
COUNTY OF LOS ANGELES,U9HMC49201,Maternal and Child Health,Transforming Pediatrics for Early Childhood (U9H),U9H,2023,"$998,573.00",Los Angeles County,CA,624882309,DN3NGS58SMT9
"REGENTS OF THE UNIVERSITY OF COLORADO, THE",UA6MC31101,Maternal and Child Health,MCH Research Network Programs (UA6),UA6,2023,"$999,994.00",Adams County,CO,041096314,MW8JHK6ZYEX8
REGENTS OF THE UNIVERSITY OF MICHIGAN,T77MC31740,Maternal and Child Health,Developmental-Behavioral Pediatrics Training Program (T77),T77,2023,"$264,696.00",Washtenaw County,MI,073133571,GNJ7BBP73WE9
UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,T77MC49099,Maternal and Child Health,Developmental-Behavioral Pediatrics Training Program (T77),T77,2023,"$264,344.00",Pulaski County,AR,122452563,VDFYLZPJEAV6
"University Of California, Los Angeles",T79MC00013,Maternal and Child Health,Maternal and Child Health Nutrition Training Program (T79),T79,2023,"$224,995.00",Los Angeles County,CA,092530369,RN64EPNH8JC6
The Pennsylvania State University,T79MC49101,Maternal and Child Health,Maternal and Child Health Nutrition Training Program (T79),T79,2023,"$355,000.00",Centre County,PA,003403953,NPM2J7MSCF61
CHILDREN & YOUTH JUSTICE CENTER,U2ZMC46634,Maternal and Child Health,Infant-Toddler Court Program (U2Z),U2Z,2023,"$850,000.00",King County,WA,,LSKMGWH8QEJ9
GEORGIA STATE UNIVERSITY RESEARCH FOUNDATION INC,U2ZMC46638,Maternal and Child Health,Infant-Toddler Court Program (U2Z),U2Z,2023,"$850,000.00",Fulton County,GA,837322494,MNS7B9CVKDN7
"PASSAIC COUNTY COURT APPOINTED SPECIAL ADVOCATES (CASA), A NEW JERSEY NONPROFIT CORPORATION",U2ZMC46642,Maternal and Child Health,Infant-Toddler Court Program (U2Z),U2Z,2023,"$850,000.00",Passaic County,NJ,,CKBRH6KLTTS5
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER OF SAN ANTONIO,UM2MC45793,Maternal and Child Health,Enhancing Systems of Care for Children with Medical Complexity (UM2),UM2,2023,"$400,000.00",Bexar County,TX,800772162,C3KXNLTAAY98
MEHARRY MEDICAL COLLEGE,UR6MC50342,Maternal and Child Health,Maternal Health Research Network (MH-RN) for MSIs--Research Awards (UR6),UR6,2023,"$480,429.00",Davidson County,TN,041438185,DLTJBDQBGBC9
Florida International University,UR6MC50346,Maternal and Child Health,Maternal Health Research Network (MH-RN) for MSIs--Research Awards (UR6),UR6,2023,"$483,399.00",Miami-Dade County,FL,071298814,Q3KCVK5S9CP1
MORGAN STATE UNIVERSITY,UR6MC50350,Maternal and Child Health,Maternal Health Research Network (MH-RN) for MSIs--Research Awards (UR6),UR6,2023,"$483,400.00",Baltimore City,MD,879941318,KULSKCCZJT27
TEXAS SOUTHERN UNIVERSITY,UR6MC50354,Maternal and Child Health,Maternal Health Research Network (MH-RN) for MSIs--Research Awards (UR6),UR6,2023,"$483,398.00",Harris County,TX,050298975,HYYJJ5ZP7CR9
"Children's Hospital of Philadelphia, The",UT5MC42432,Maternal and Child Health,Developmental-Behavioral Pediatrics Research Network (UT5),UT5,2023,"$275,000.00",Philadelphia County,PA,073757627,G7MQPLSUX1L4
OKLAHOMA STATE DEPARTMENT OF HEALTH,X10MC50323,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program (X10)",X10,2023,"$7,625,880.00",Oklahoma County,OK,143673015,LFU8Z8MPLTG3
The Rhode Island Department of Health,X10MC50327,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program (X10)",X10,2023,"$8,445,341.00",Providence County,RI,929922664,NERYUGQ8XNB1
"Family & Protective Services, Texas Department of",X10MC50331,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program (X10)",X10,2023,"$27,244,590.00",Travis County,TX,808730360,P1UAVVCB7Y41
COMMONWEALTH OF VIRGINIA STATE BOARD OF HEALTH,X10MC50335,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program (X10)",X10,2023,"$10,832,066.00",Richmond City,VA,602160298,JKF3BS4U4PG1
"Family Services, Wyoming Department of",X10MC50339,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program (X10)",X10,2023,"$1,408,856.00",Laramie County,WY,809915754,VMLLVM5LAD44
ANN & ROBERT H LURIE CHILDRENS HOSPITAL OF CHICAGO,H98MC33237,Maternal and Child Health,Awareness and Access to Care for Children and Youth with Epilepsy (H98),H98,2023,"$416,000.00",Cook County,IL,074438755,XJ7MMPHBMGM7
"Regents of the University of California, San Francisco, The",T71MC00003,Maternal and Child Health,Leadership Education  in Adolescent Health (LEAH) (T71),T71,2023,"$459,370.00",San Francisco County,CA,094878337,KMH5K9V7S518
UNIVERSITY OF WASHINGTON,T71MC24210,Maternal and Child Health,Leadership Education  in Adolescent Health (LEAH) (T71),T71,2023,"$459,370.00",King County,WA,605799469,HD1WMN6945W6
Trustees Of Indiana University,T71MC45699,Maternal and Child Health,Leadership Education  in Adolescent Health (LEAH) (T71),T71,2023,"$459,275.00",Monroe County,IN,006046700,YH86RTW2YVJ4
UNIVERSITY OF ARIZONA,T72MC00012,Maternal and Child Health,Pediatric Pulmonary Centers (T72),T72,2023,"$340,000.00",Pima County,AZ,806345617,ED44Y3W6P7B9
CHILDRENS HOSPITAL LOS ANGELES,T73MC00008,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),T73,2023,"$813,000.00",Los Angeles County,CA,052277936,DVL1CMRMWRN9
THE UNIVERSITY OF IOWA,T73MC00016,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),T73,2023,"$645,000.00",Johnson County,IA,062761671,Z1H9VJS8NG16
"University Of New Mexico, The",T73MC00025,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),T73,2023,"$645,000.00",Bernalillo County,NM,868853094,F6XLTRUQJEN4
UNIVERSITY OF OKLAHOMA,T73MC00033,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),T73,2023,"$644,681.00",Oklahoma County,OK,878648294,GY8NMUZQXVS7
UNIVERSITY OF TENNESSEE,T73MC00038,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),T73,2023,"$645,000.00",Shelby County,TN,941884009,X1M1PN3KG3E7
WEST VIRGINIA UNIVERSITY RESEARCH CORPORATION,T73MC00043,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),T73,2023,"$645,000.00",Monongalia County,WV,191510239,M7PNRH24BBM8
UNIVERSITY OF MASSACHUSETTS MEDICAL SCHOOL,T73MC00056,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),T73,2023,"$645,000.00",Worcester County,MA,603847393,MQE2JHHJW9Q8
University of Illinois,T73MC11047,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),T73,2023,"$784,080.00",Cook County,IL,098987217,W8XEAJDKMXH3
Nevada System of Higher Education,T73MC19940,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),T73,2023,"$537,032.00",Washoe County,NV,146515460,WLDGTNCFFJZ3
UNIVERSITY OF HEALTH SCIENCE CENTER,T73MC22236,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),T73,2023,"$574,401.00",Harris County,TX,800771594,ZUFBNVZ587D4
"University Of California, Los Angeles",T73MC30114,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),T73,2023,"$554,000.00",Los Angeles County,CA,092530369,RN64EPNH8JC6
UNIVERSITY OF NEW ENGLAND,T73MC30118,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),T73,2023,"$463,964.00",York County,ME,071735252,HVE6K4YS3B51
ALBERT EINSTEIN COLLEGE OF MEDICINE,T73MC33228,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),T73,2023,"$813,000.00",Bronx County,NY,081266487,H6N1ZF5HJ2G3
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,T73MC42024,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),T73,2023,"$464,000.00",Charlottesville City,VA,065391526,JJG6HU8PA4S5
"University of Kentucky Research Foundation, The",T73MC42028,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),T73,2023,"$464,000.00",Fayette County,KY,939017877,H1HYA8Z1NTM5
"Regents Of The University Of California, The",T76MC00002,Maternal and Child Health,"Centers of Excellence in MCH Education, Science and Practice Program (T76)",T76,2023,"$390,678.00",Alameda County,CA,124726725,GS3YEVSS12N6
University of Illinois,T76MC00009,Maternal and Child Health,"Centers of Excellence in MCH Education, Science and Practice Program (T76)",T76,2023,"$547,250.00",Cook County,IL,098987217,W8XEAJDKMXH3
UNIVERSITY OF SOUTH FLORIDA,T76MC18122,Maternal and Child Health,"Centers of Excellence in MCH Education, Science and Practice Program (T76)",T76,2023,"$547,011.00",Hillsborough County,FL,069687242,NKAZLXLL7Z91
"Children's Hospital Corporation, The",T77MC00011,Maternal and Child Health,Developmental-Behavioral Pediatrics Training Program (T77),T77,2023,"$264,663.00",Suffolk County,MA,076593722,Z1L9F1MM1RY3
MEDICAL UNIVERSITY OF SOUTH CAROLINA THE,T77MC25730,Maternal and Child Health,Developmental-Behavioral Pediatrics Training Program (T77),T77,2023,"$264,696.00",Charleston County,SC,183710748,NHV3GTWSALA7
"Broward Healthy Start Coalition, Inc",U1VMC46315,Maternal and Child Health,Catalysts for Infant Health Equity (U1V),U1V,2023,"$500,000.00",Broward County,FL,143606932,JDSWAX7LJA15
NEWARK COMMUNITY HEALTH CENTERS INC,U1VMC46319,Maternal and Child Health,Catalysts for Infant Health Equity (U1V),U1V,2023,"$500,000.00",Essex County,NJ,108820416,LBRYYVT467J5
ASSOCIATION OF MATERNAL AND CHILD HEALTH PROGRAMS,U1XMC31656,Maternal and Child Health,Supporting Maternal and Child Health Innovation in States (U1X),U1X,2023,"$399,997.00",District of Columbia,DC,187761408,DZNNGG4RFQP3
BEXAR COUNTY HOSPITAL DISTRICT,U2EMC52096,Maternal and Child Health,Integrated Maternal Health Services (U2E),U2E,2023,"$1,715,550.00",Bexar County,TX,069446656,JTALGHD9SUH5
University Of Alabama At Birmingham,U2EMC52100,Maternal and Child Health,Integrated Maternal Health Services (U2E),U2E,2023,"$1,776,797.00",Jefferson County,AL,063690705,YND4PLMC9AN7
"Health And Human Resources, West Virginia Department Of",U4AMC44256,Maternal and Child Health,American Rescue Plan Act – Pediatric Mental Health Care Access New Area Expansion (U4A),U4A,2023,"$405,000.00",Kanawha County,WV,140779708,YZ2HCE5SELE6
UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,U4AMC45819,Maternal and Child Health,American Rescue Plan Act – Pediatric Mental Health Care Access New Area Expansion (U4A),U4A,2023,"$150,000.00",Pulaski County,AR,122452563,VDFYLZPJEAV6
NEW HAMPSHIRE DEPARTMENT OF HEALTH & HUMAN SERVICES,U4CMC32316,Maternal and Child Health,Pediatric Mental Health Care Access Program (U4C),U4C,2023,"$850,000.00",Merrimack County,NH,011040545,LA2HR1U97VC6
MICHIGAN HEALTH AND HUMAN SERVICES,U4CMC32321,Maternal and Child Health,Pediatric Mental Health Care Access Program (U4C),U4C,2023,"$847,400.00",Ingham County,MI,113704139,C2AQVDYYUAS7
"Mental Health, Missouri Department Of",U4CMC32326,Maternal and Child Health,Pediatric Mental Health Care Access Program (U4C),U4C,2023,"$850,000.00",Cole County,MO,780871430,QLUAWH28TG83
"HEALTH AND ENVIRONMENT, KANSAS DEPARTMENT OF",U4CMC32911,Maternal and Child Health,Pediatric Mental Health Care Access Program (U4C),U4C,2023,"$953,357.00",Shawnee County,KS,175941483,CGSTLVM57LM5
DEPARTMENT OF PUBLIC HEALTH &  SOCIAL SERVICES,U4CMC49928,Maternal and Child Health,Pediatric Mental Health Care Access Program (U4C),U4C,2023,"$650,000.00",Guam,GU,855028700,QM41LQWVXCK8
"UNIVERSITY OF MARYLAND, BALTIMORE",U4CMC49932,Maternal and Child Health,Pediatric Mental Health Care Access Program (U4C),U4C,2023,"$849,439.00",Baltimore City,MD,188435911,Z9CRZKD42ZT1
University of Texas At Austin,U4LMC47054,Maternal and Child Health,Pediatric Mental Health Care Access - EMSC Innovation and Improvement Center (U4L),U4L,2023,"$1,000,000.00",Travis County,TX,170230239,V6AFQPN18437
IOWA DEPARTMENT OF PUBLIC HEALTH,U7AMC33719,Maternal and Child Health,State Maternal Health Innovation Program (U7A),U7A,2023,"$2,242,455.00",Polk County,IA,808345920,S47QLSY37VS1
TENNESSEE DEPARTMENT OF HEALTH,U7AMC46841,Maternal and Child Health,State Maternal Health Innovation Program (U7A),U7A,2023,"$1,170,233.00",Davidson County,TN,172636268,EA5JN3P55GR1
"PUBLIC HEALTH, MASSACHUSETTS DEPARTMENT OF",U7AMC46845,Maternal and Child Health,State Maternal Health Innovation Program (U7A),U7A,2023,"$1,170,233.00",Suffolk County,MA,878298900,DLKMR1QVDX34
ARIZONA DEPARTMENT OF HEALTH SERVICES,U7AMC50503,Maternal and Child Health,State Maternal Health Innovation Program (U7A),U7A,2023,"$1,670,233.00",Maricopa County,AZ,804745420,QMWUG1AMYF65
"DISTRICT OF COLUMBIA, GOVERNMENT OF",U7AMC50507,Maternal and Child Health,State Maternal Health Innovation Program (U7A),U7A,2023,"$873,485.00",District of Columbia,DC,106731248,XUYTN6MMLKE3
"HEALTH, WASHINGTON STATE DEPARTMENT OF",U7AMC50511,Maternal and Child Health,State Maternal Health Innovation Program (U7A),U7A,2023,"$1,670,233.00",Thurston County,WA,808883128,C16SP2HBR123
OHIO DEPARTMENT OF HEALTH,U7AMC50515,Maternal and Child Health,State Maternal Health Innovation Program (U7A),U7A,2023,"$1,670,233.00",Franklin County,OH,808847933,CLN8VY9APLQ5
"University of Kentucky Research Foundation, The",U7AMC50519,Maternal and Child Health,State Maternal Health Innovation Program (U7A),U7A,2023,"$1,152,565.00",Fayette County,KY,939017877,H1HYA8Z1NTM5
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,U7CMC33636,Maternal and Child Health,State Maternal Health Innovation Support and Implementation Program (U7C),U7C,2023,"$4,100,000.00",Orange County,NC,608195277,D3LHU66KBLD5
ILLINOIS DEPARTMENT OF HUMAN SERVICE,U7EMC42158,Maternal and Child Health,Early Childhood Comprehensive Systems: Health Integration Prenatal to Three Program (U7E),U7E,2023,"$255,600.00",Sangamon County,IL,067919071,EK7ENJE97829
MINNESOTA DEPARTMENT OF HEALTH,U7EMC42162,Maternal and Child Health,Early Childhood Comprehensive Systems: Health Integration Prenatal to Three Program (U7E),U7E,2023,"$255,600.00",Ramsey County,MN,804887321,DHQVY2WCVHC5
"CHILDREN & FAMILY SERVICES, NEW YORK OFFICE OF",U7EMC42167,Maternal and Child Health,Early Childhood Comprehensive Systems: Health Integration Prenatal to Three Program (U7E),U7E,2023,"$255,600.00",Rensselaer County,NY,042387717,CWZ2XR16FD42
UTAH DEPARTMENT OF HEALTH AND HUMAN SERVICES,U7EMC42171,Maternal and Child Health,Early Childhood Comprehensive Systems: Health Integration Prenatal to Three Program (U7E),U7E,2023,"$255,550.00",Salt Lake County,UT,959347972,C172TQML5G99
ELEMENTARY & SECONDARY EDUCATION MISSOURI DEPARTMENT OF,U7EMC45465,Maternal and Child Health,Early Childhood Comprehensive Systems: Health Integration Prenatal to Three Program (U7E),U7E,2023,"$255,600.00",Cole County,MO,093746923,T8XNGD5MB9N5
COUNTY OF LOS ANGELES,UK3MC50369,Maternal and Child Health,Screening and Treatment for Maternal Depression and Related Behavioral Disorders Program (UK3),UK3,2023,"$749,804.00",Los Angeles County,CA,624882309,DN3NGS58SMT9
"Health And Human Services Commission, Texas",UK3MC50373,Maternal and Child Health,Screening and Treatment for Maternal Depression and Related Behavioral Disorders Program (UK3),UK3,2023,"$750,000.00",Travis County,TX,806781373,G6JLG3FANUA9
"REGENTS OF THE UNIVERSITY OF COLORADO, THE",UK3MC50377,Maternal and Child Health,Screening and Treatment for Maternal Depression and Related Behavioral Disorders Program (UK3),UK3,2023,"$749,872.00",Adams County,CO,041096314,MW8JHK6ZYEX8
DENVER HEALTH AND HOSPITALS AUTHORITY,UK7MC33230,Maternal and Child Health,Networks for Oral Health Integration within the Maternal and Child Health Safety Net (UK7),UK7,2023,"$1,259,274.00",Denver County,CO,093564180,MMT4LGM4H9Z5
ARIZONA DEPARTMENT OF HEALTH SERVICES,X10MC50287,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program (X10)",X10,2023,"$12,564,596.00",Maricopa County,AZ,804745420,QMWUG1AMYF65
CONNECTICUT OFFICE OF EARLY CHILDHOOD,X10MC50291,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program (X10)",X10,2023,"$10,739,127.00",Hartford County,CT,079102530,VGAKVJNLKDR9
STATE OF GEORGIA DEPARTMENT OF PUBLIC HEALTH,X10MC50295,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program (X10)",X10,2023,"$9,467,338.00",Fulton County,GA,968217559,GUT1BFELPFJ1
ILLINOIS DEPARTMENT OF HUMAN SERVICE,X10MC50299,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program (X10)",X10,2023,"$11,901,581.00",Sangamon County,IL,067919071,EK7ENJE97829
"HEALTH & FAMILY SERVICES, KENTUCKY CABINET FOR",X10MC50303,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program (X10)",X10,2023,"$7,817,677.00",Franklin County,KY,927049767,LECJQDCLHVE5
"PUBLIC HEALTH, MASSACHUSETTS DEPARTMENT OF",X10MC50307,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program (X10)",X10,2023,"$9,636,603.00",Suffolk County,MA,878298900,DLKMR1QVDX34
ELEMENTARY & SECONDARY EDUCATION MISSOURI DEPARTMENT OF,X10MC50311,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program (X10)",X10,2023,"$5,327,869.00",Cole County,MO,093746923,T8XNGD5MB9N5
NEW HAMPSHIRE DEPARTMENT OF HEALTH & HUMAN SERVICES,X10MC50315,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program (X10)",X10,2023,"$3,476,389.00",Merrimack County,NH,011040545,LA2HR1U97VC6
STATE OF NORTH CAROLINA DEPARTMENT OF HEALTH & HUMAN SERVICES,X10MC50319,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program (X10)",X10,2023,"$5,153,070.00",Wake County,NC,809785363,DKT3LLBWFVL3
PENNSYLVANIA STATE UNIVERSITY,R43MC49152,Maternal and Child Health,Autism Secondary Data Analysis Program (R43),R43,2023,"$120,000.00",Dauphin County,PA,129348186,TNKGNDAWB445
UNIVERSITY OF MIAMI,R40MC41747,Maternal and Child Health,Maternal and Child Health Field-Initiated Research Program (R40),R40,2023,"$298,949.00",Miami-Dade County,FL,052780918,F8THLJQSAF93
REGENTS OF THE UNIVERSITY OF MINNESOTA,R41MC42776,Maternal and Child Health,Autism Secondary Data Analysis Research (SDAR) Program (R41),R41,2023,"$93,089.00",Hennepin County,MN,555917996,KABJZBBJ4B54
Trustees Of Indiana University,R42MC49149,Maternal and Child Health,R42 MCH Secondary Data Analysis Research (R42),R42,2023,"$120,000.00",Monroe County,IN,006046700,YH86RTW2YVJ4
University Of Alabama At Birmingham,T79MC00011,Maternal and Child Health,Maternal and Child Health Nutrition Training Program (T79),T79,2023,"$225,000.00",Jefferson County,AL,063690705,YND4PLMC9AN7
"Administrators of the Tulane Educational Fund, The",T79MC31883,Maternal and Child Health,Maternal and Child Health Nutrition Training Program (T79),T79,2023,"$224,998.00",Orleans Parish,LA,053785812,XNY5ULPU8EN6
EDUCATIONAL SERVICE CENTER OF CUYAHOGA COUNTY,U2ZMC46637,Maternal and Child Health,Infant-Toddler Court Program (U2Z),U2Z,2023,"$849,040.00",Cuyahoga County,OH,,GLZNCLL3HK69
"Mental Health And Substance Abuse Services, Oklahoma Department Of",U2ZMC46641,Maternal and Child Health,Infant-Toddler Court Program (U2Z),U2Z,2023,"$850,000.00",Oklahoma County,OK,933662934,X5K6JYC467J7
ROCKY MOUNTAIN CHILDREN'S LAW CENTER,U2ZMC46645,Maternal and Child Health,Infant-Toddler Court Program (U2Z),U2Z,2023,"$850,000.00",Denver County,CO,,HNK9KC8D5LX5
American Academy Of Pediatrics,U5DMC39344,Maternal and Child Health,Pediatric Research Network Program (U5D),U5D,2023,"$373,000.00",DuPage County,IL,055399364,DWN9T4FUL313
University Of Alabama At Birmingham,T71MC24209,Maternal and Child Health,Leadership Education  in Adolescent Health (LEAH) (T71),T71,2023,"$459,370.00",Jefferson County,AL,063690705,YND4PLMC9AN7
BAYLOR COLLEGE OF MEDICINE,T71MC45698,Maternal and Child Health,Leadership Education  in Adolescent Health (LEAH) (T71),T71,2023,"$459,370.00",Harris County,TX,051113330,FXKMA43NTV21
UNIVERSITY OF WASHINGTON,T72MC00007,Maternal and Child Health,Pediatric Pulmonary Centers (T72),T72,2023,"$340,000.00",King County,WA,605799469,HD1WMN6945W6
